Waktu (detik),Tegangan (V),Arus (A)
726.0,12.23,4.31
727.0,12.6,2.99
728.0,12.45,3.5300000000000002
729.0,12.7,2.65
730.0,12.52,3.18
731.0,12.38,3.77
732.0,12.55,3.23
733.0,12.4,3.67
734.0,12.5,3.33
735.0,12.26,4.21
736.0,12.43,3.67
737.0,12.23,4.21
738.0,12.45,3.14
739.0,12.38,3.43
740.0,12.67,2.7
741.0,12.6,2.99
742.0,12.28,3.8200000000000003
743.0,12.3,3.62
744.0,12.62,2.79
745.0,12.6,2.94
746.0,12.21,3.87
747.0,12.6,2.99
748.0,12.52,3.14
749.0,12.35,3.48
750.0,12.26,3.67
751.0,12.65,2.6
752.0,12.55,2.79
753.0,12.62,2.94
754.0,12.48,3.5300000000000002
755.0,12.55,3.14
756.0,12.3,4.06
757.0,12.55,3.18
758.0,12.57,3.04
759.0,12.52,2.94
760.0,12.6,2.55
761.0,12.3,3.8200000000000003
762.0,12.35,3.2800000000000002
763.0,12.45,3.04
764.0,12.45,3.48
765.0,12.38,3.87
766.0,12.62,2.84
767.0,12.57,3.04
768.0,12.57,2.79
769.0,12.6,2.65
770.0,12.65,2.5
771.0,12.26,4.02
772.0,12.28,3.58
773.0,12.5,3.23
774.0,12.52,3.18
775.0,12.6,2.7
776.0,12.62,2.45
777.0,12.26,4.16
778.0,12.28,4.06
779.0,12.33,3.87
780.0,12.48,2.99
781.0,12.52,2.89
782.0,12.28,4.06
783.0,12.21,4.26
784.0,12.57,3.18
785.0,12.65,2.75
786.0,12.67,2.65
787.0,12.21,4.06
788.0,12.26,4.16
789.0,12.67,2.35
790.0,12.57,2.79
791.0,12.38,3.67
792.0,12.4,3.72
793.0,12.65,2.55
794.0,12.57,2.7
795.0,12.57,2.75
796.0,12.35,3.8200000000000003
797.0,12.33,3.97
798.0,12.62,2.79
799.0,12.55,3.18
800.0,12.35,3.23
801.0,12.57,2.6
802.0,12.55,2.79
803.0,12.45,3.3800000000000003
804.0,12.67,2.7
805.0,12.38,3.72
806.0,12.5,3.18
807.0,12.21,4.11
808.0,12.23,4.21
809.0,12.57,3.0900000000000003
810.0,12.67,2.55
811.0,12.55,2.75
812.0,12.45,3.43
813.0,12.65,2.5
814.0,12.38,3.67
815.0,12.52,3.14
816.0,12.21,4.06
817.0,12.21,4.31
818.0,12.3,3.92
819.0,12.57,2.79
820.0,12.21,4.11
821.0,12.65,2.5
822.0,12.3,3.5300000000000002
823.0,12.62,2.4
824.0,12.18,4.21
825.0,12.62,2.45
826.0,12.26,3.67
827.0,12.35,3.8200000000000003
828.0,12.55,2.75
829.0,12.45,3.0900000000000003
830.0,12.5,3.23
831.0,12.48,2.99
832.0,12.67,2.6
833.0,12.52,2.84
834.0,12.43,3.0900000000000003
835.0,12.43,3.43
836.0,12.43,3.48
837.0,12.18,3.92
838.0,12.45,3.2800000000000002
839.0,12.38,3.62
840.0,12.67,2.45
841.0,12.43,3.5300000000000002
842.0,12.62,2.75
843.0,12.65,2.75
844.0,12.16,4.26
845.0,12.28,4.02
846.0,12.65,2.45
847.0,12.48,3.04
848.0,12.65,2.5
849.0,12.26,3.8200000000000003
850.0,12.6,2.89
851.0,12.62,2.79
852.0,12.23,4.21
853.0,12.23,4.11
854.0,12.21,4.21
855.0,12.55,3.0900000000000003
856.0,12.6,2.89
857.0,12.26,3.77
858.0,12.21,4.11
859.0,12.23,4.31
860.0,12.65,2.4
861.0,12.65,2.45
862.0,12.23,4.26
863.0,12.33,3.92
864.0,12.67,2.45
865.0,12.48,2.89
866.0,12.21,4.16
867.0,12.65,2.35
868.0,12.6,2.45
869.0,12.23,4.11
870.0,12.26,3.97
871.0,12.5,3.14
872.0,12.3,3.87
873.0,12.43,3.5300000000000002
874.0,12.3,4.02
875.0,12.21,4.21
876.0,12.48,3.18
877.0,12.62,2.7
878.0,12.23,4.02
879.0,12.3,3.87
880.0,12.57,2.99
881.0,12.45,3.33
882.0,12.4,3.5300000000000002
883.0,12.57,2.65
884.0,12.38,3.23
885.0,12.52,3.0900000000000003
886.0,12.6,2.6
887.0,12.43,3.3800000000000003
888.0,12.6,2.99
889.0,12.28,3.43
890.0,12.23,3.72
891.0,12.4,3.04
892.0,12.21,4.31
893.0,12.23,3.5300000000000002
894.0,12.23,4.11
895.0,12.23,3.92
896.0,12.43,3.3800000000000003
897.0,12.35,3.58
898.0,12.55,2.99
899.0,12.21,4.11
900.0,12.3,3.97
901.0,12.62,2.6
902.0,12.45,3.04
903.0,12.5,3.14
904.0,12.65,2.6
905.0,12.26,4.06
906.0,12.43,3.5300000000000002
907.0,12.6,2.55
908.0,12.48,3.23
909.0,12.4,3.04
910.0,12.62,2.45
911.0,12.18,4.26
912.0,12.48,2.89
913.0,12.33,3.77
914.0,12.62,2.7
915.0,12.26,3.92
916.0,12.6,2.75
917.0,12.28,3.97
918.0,12.5,3.2800000000000002
919.0,12.21,4.11
920.0,12.43,3.33
921.0,12.48,2.89
922.0,12.3,3.23
923.0,12.28,4.02
924.0,12.62,2.4
925.0,12.48,2.89
926.0,12.65,2.55
927.0,12.52,2.75
928.0,12.52,3.0900000000000003
929.0,12.48,2.89
930.0,12.38,3.5300000000000002
931.0,12.23,4.16
932.0,12.65,2.5
933.0,12.38,3.5300000000000002
934.0,12.52,2.75
935.0,12.6,2.7
936.0,12.45,2.89
937.0,12.33,3.8200000000000003
938.0,12.57,2.84
939.0,12.43,3.04
940.0,12.65,2.31
941.0,12.43,2.99
942.0,12.62,2.75
943.0,12.52,2.65
944.0,12.4,3.43
945.0,12.62,2.45
946.0,12.18,4.21
947.0,12.43,3.04
948.0,12.45,3.33
949.0,12.45,3.23
950.0,12.18,3.92
951.0,12.18,3.87
952.0,12.65,2.5
953.0,12.57,2.94
954.0,12.45,3.33
955.0,12.43,3.23
956.0,12.62,2.35
957.0,12.65,2.6
958.0,12.26,3.8200000000000003
959.0,12.16,4.06
960.0,12.16,4.21
961.0,12.5,2.7
962.0,12.43,3.33
963.0,12.35,3.67
964.0,12.55,2.65
965.0,12.6,2.75
966.0,12.65,2.31
967.0,12.23,4.11
968.0,12.48,3.18
969.0,12.3,3.77
970.0,12.52,2.99
971.0,12.6,2.84
972.0,12.26,4.02
973.0,12.35,3.77
974.0,12.52,2.7
975.0,12.5,3.0900000000000003
976.0,12.57,2.84
977.0,12.28,3.97
978.0,12.48,2.79
979.0,12.62,2.6
980.0,12.3,3.48
981.0,12.35,3.48
982.0,12.65,2.6
983.0,12.33,3.72
984.0,12.18,4.21
985.0,12.4,3.48
986.0,12.4,3.3800000000000003
987.0,12.23,4.06
988.0,12.35,3.62
989.0,12.21,4.16
990.0,12.52,2.89
991.0,12.21,3.8200000000000003
992.0,12.35,3.67
993.0,12.4,3.3800000000000003
994.0,12.6,2.84
995.0,12.18,4.11
996.0,12.23,4.11
997.0,12.48,3.2800000000000002
998.0,12.48,3.04
999.0,12.48,2.84
1000.0,12.33,3.33
1001.0,12.43,3.33
1002.0,12.48,3.14
1003.0,12.38,3.43
1004.0,12.23,4.02
1005.0,12.57,2.65
1006.0,12.6,2.45
1007.0,12.16,4.26
1008.0,12.57,2.75
1009.0,12.35,3.67
1010.0,12.16,4.11
1011.0,12.57,2.55
1012.0,12.26,4.02
1013.0,12.28,3.5300000000000002
1014.0,12.45,3.18
1015.0,12.23,4.06
1016.0,12.16,4.26
1017.0,12.45,2.84
1018.0,12.35,3.58
1019.0,12.55,2.65
1020.0,12.6,2.65
1021.0,12.18,3.8200000000000003
1022.0,12.45,2.94
1023.0,12.48,3.18
1024.0,12.57,2.6
1025.0,12.5,2.99
1026.0,12.16,3.97
1027.0,12.16,4.36
1028.0,12.16,4.06
1029.0,12.55,2.55
1030.0,12.6,2.5
1031.0,12.52,2.94
1032.0,12.18,3.92
1033.0,12.62,2.35
1034.0,12.5,2.75
1035.0,12.28,3.87
1036.0,12.35,3.18
1037.0,12.18,4.11
1038.0,12.23,3.62
1039.0,12.57,2.79
1040.0,12.45,3.33
1041.0,12.4,3.2800000000000002
1042.0,12.52,2.65
1043.0,12.65,2.55
1044.0,12.16,4.16
1045.0,12.21,3.58
1046.0,12.45,3.14
1047.0,12.57,2.65
1048.0,12.28,3.58
1049.0,12.4,2.94
1050.0,12.62,2.45
1051.0,12.6,2.65
1052.0,12.21,3.67
1053.0,12.45,2.94
1054.0,12.23,4.16
1055.0,12.21,4.06
1056.0,12.45,3.2800000000000002
1057.0,12.21,4.21
1058.0,12.5,2.7
1059.0,12.35,3.04
1060.0,12.6,2.5
1061.0,12.45,3.18
1062.0,12.55,2.55
1063.0,12.6,2.4
1064.0,12.4,3.48
1065.0,12.5,2.99
1066.0,12.23,4.02
1067.0,12.52,2.6
1068.0,12.62,2.35
1069.0,12.16,4.16
1070.0,12.28,3.77
1071.0,12.48,2.79
1072.0,12.55,2.45
1073.0,12.35,3.58
1074.0,12.18,4.06
1075.0,12.33,3.67
1076.0,12.16,4.11
1077.0,12.3,3.77
1078.0,12.26,3.62
1079.0,12.26,3.5300000000000002
1080.0,12.5,2.99
1081.0,12.43,3.14
1082.0,12.13,4.36
1083.0,12.57,2.5
1084.0,12.6,2.45
1085.0,12.16,3.87
1086.0,12.55,2.6
1087.0,12.18,4.16
1088.0,12.43,2.99
1089.0,12.21,4.02
1090.0,12.6,2.4
1091.0,12.55,2.45
1092.0,12.38,3.3800000000000003
1093.0,12.43,3.14
1094.0,12.18,3.72
1095.0,12.16,3.8200000000000003
1096.0,12.62,2.5
