Waktu (detik),Tegangan (V),Arus (A)
379.0,24.51,3.12
380.0,24.5,3.3200000000000003
381.0,24.51,3.18
382.0,24.5,3.24
383.0,24.5,3.23
384.0,24.49,3.3000000000000003
385.0,24.48,3.39
386.0,24.47,3.6
387.0,24.47,3.54
388.0,24.48,3.4
389.0,24.48,3.47
390.0,24.48,3.39
391.0,24.47,3.5300000000000002
392.0,24.47,3.5300000000000002
393.0,24.47,3.5500000000000003
394.0,24.47,3.47
395.0,24.48,3.31
396.0,24.48,3.17
397.0,24.49,3.25
398.0,24.48,3.3600000000000003
399.0,24.48,3.3400000000000003
400.0,24.49,3.2800000000000002
401.0,24.49,3.22
402.0,24.49,3.3000000000000003
403.0,24.5,3.27
404.0,24.5,3.27
405.0,24.5,3.35
406.0,24.5,3.3000000000000003
407.0,24.51,3.1100000000000003
408.0,24.51,3.1300000000000003
409.0,24.5,3.3000000000000003
410.0,24.49,3.35
411.0,24.5,3.17
412.0,24.49,3.17
413.0,24.5,3.0700000000000003
414.0,24.49,3.04
415.0,24.49,3.12
416.0,24.49,3.12
417.0,24.49,3.1100000000000003
418.0,24.49,3.2
419.0,24.5,2.97
420.0,24.5,3.0700000000000003
421.0,24.5,3.1300000000000003
422.0,24.51,2.92
423.0,24.5,3.0
424.0,24.51,2.99
425.0,24.51,2.89
426.0,24.49,3.08
427.0,24.5,3.0500000000000003
428.0,24.51,2.9
429.0,24.5,3.0300000000000002
430.0,24.5,3.0300000000000002
431.0,24.5,2.95
432.0,24.5,3.0
433.0,24.51,2.97
434.0,24.5,2.98
435.0,24.5,2.9
436.0,24.51,2.86
437.0,24.5,2.89
438.0,24.5,2.98
439.0,24.5,2.91
440.0,24.5,2.89
441.0,24.5,2.9
442.0,24.49,3.06
443.0,24.49,2.91
444.0,24.5,2.94
445.0,24.5,2.97
446.0,24.5,2.95
447.0,24.49,3.12
448.0,24.49,3.1
449.0,24.5,3.1300000000000003
450.0,24.5,3.02
451.0,24.5,3.17
452.0,24.5,3.0900000000000003
453.0,24.5,3.2600000000000002
454.0,24.49,3.31
455.0,24.48,3.5
456.0,24.48,3.54
457.0,24.48,3.5700000000000003
458.0,24.48,3.64
459.0,24.47,3.79
460.0,24.47,3.8600000000000003
461.0,24.47,3.8400000000000003
462.0,24.47,3.7
463.0,24.47,3.73
464.0,24.47,3.73
465.0,24.48,3.71
466.0,24.48,3.6
467.0,24.48,3.41
468.0,24.48,3.42
469.0,24.49,3.2800000000000002
470.0,24.49,3.14
471.0,24.49,3.17
472.0,24.49,3.17
473.0,24.49,3.19
474.0,24.5,3.0900000000000003
475.0,24.5,2.99
476.0,24.49,3.04
477.0,24.49,3.0500000000000003
478.0,24.5,2.91
479.0,24.51,2.89
480.0,24.51,2.98
481.0,24.51,3.0
482.0,24.5,3.18
483.0,24.5,3.17
484.0,24.5,3.1300000000000003
485.0,24.5,3.15
486.0,24.5,3.17
487.0,24.5,3.1300000000000003
488.0,24.5,3.17
489.0,24.48,3.3400000000000003
490.0,24.49,3.24
491.0,24.49,3.1300000000000003
492.0,24.49,3.0900000000000003
493.0,24.49,3.0
494.0,24.49,2.98
495.0,24.49,2.99
496.0,24.5,2.96
497.0,24.5,2.97
498.0,24.5,2.95
499.0,24.51,2.91
500.0,24.51,2.97
501.0,24.5,3.1100000000000003
