Waktu (detik),Tegangan (V),Arus (A)
359.0,11.67,2.31
360.0,11.67,2.21
361.0,11.45,3.8200000000000003
362.0,11.65,2.35
363.0,11.47,3.33
364.0,11.43,3.5300000000000002
365.0,11.79,1.96
366.0,11.5,3.14
367.0,11.74,1.96
368.0,11.57,2.75
369.0,11.74,2.31
370.0,11.74,1.72
371.0,11.6,2.99
372.0,11.77,2.06
373.0,11.69,2.11
374.0,11.47,3.67
375.0,11.47,3.8200000000000003
376.0,11.69,2.55
377.0,11.65,2.75
378.0,11.72,1.96
379.0,11.77,2.0100000000000002
380.0,11.72,2.35
381.0,11.6,2.65
382.0,11.47,3.23
383.0,11.67,2.6
384.0,11.6,2.84
385.0,11.74,1.82
386.0,11.77,1.77
387.0,11.45,3.58
388.0,11.43,3.62
389.0,11.47,3.3800000000000003
390.0,11.6,2.99
391.0,11.52,3.3800000000000003
392.0,11.74,1.72
393.0,11.72,2.0100000000000002
394.0,11.45,3.72
395.0,11.43,3.67
396.0,11.45,3.5300000000000002
397.0,11.72,2.35
398.0,11.74,1.87
399.0,11.45,3.72
400.0,11.72,2.0100000000000002
401.0,11.62,2.84
402.0,11.67,2.11
403.0,11.74,2.21
404.0,11.43,3.5300000000000002
405.0,11.77,2.06
406.0,11.74,2.4
407.0,11.45,3.48
408.0,11.43,3.5300000000000002
409.0,11.74,1.62
410.0,11.74,1.77
411.0,11.45,3.67
412.0,11.69,2.31
413.0,11.55,2.79
414.0,11.43,3.72
415.0,11.69,1.96
416.0,11.45,3.5300000000000002
417.0,11.55,3.0900000000000003
418.0,11.43,3.67
419.0,11.47,3.23
420.0,11.57,2.94
421.0,11.72,2.0100000000000002
422.0,11.62,2.89
423.0,11.69,2.0100000000000002
424.0,11.67,2.55
425.0,11.6,2.55
426.0,11.72,2.0100000000000002
427.0,11.43,3.72
428.0,11.55,3.14
429.0,11.43,3.58
430.0,11.62,2.31
431.0,11.62,2.31
432.0,11.62,2.75
433.0,11.67,2.6
434.0,11.5,3.48
435.0,11.72,2.35
436.0,11.5,3.3800000000000003
437.0,11.57,2.55
438.0,11.5,3.04
439.0,11.62,2.75
440.0,11.45,3.72
441.0,11.67,2.21
442.0,11.6,2.5
443.0,11.67,2.55
444.0,11.43,3.58
445.0,11.45,3.72
446.0,11.52,2.84
447.0,11.45,3.72
448.0,11.52,2.84
449.0,11.47,3.72
450.0,11.57,2.89
451.0,11.57,2.55
452.0,11.69,1.96
453.0,11.67,2.45
454.0,11.77,2.06
455.0,11.52,2.89
456.0,11.57,2.94
457.0,11.74,2.16
458.0,11.55,3.18
459.0,11.65,2.31
460.0,11.62,2.84
461.0,11.57,3.04
462.0,11.45,3.5300000000000002
463.0,11.52,2.94
464.0,11.72,1.77
465.0,11.65,2.6
466.0,11.62,2.5
467.0,11.74,2.4
468.0,11.52,3.0900000000000003
469.0,11.57,3.33
470.0,11.45,3.72
471.0,11.72,2.11
472.0,11.57,2.94
473.0,11.72,2.0100000000000002
474.0,11.55,3.23
475.0,11.62,2.89
476.0,11.72,2.0100000000000002
477.0,11.43,3.72
478.0,11.69,2.16
479.0,11.69,2.11
480.0,11.47,3.48
481.0,11.52,3.18
482.0,11.45,3.43
483.0,11.43,3.72
484.0,11.67,2.11
485.0,11.67,2.45
486.0,11.72,1.96
487.0,11.69,2.06
488.0,11.43,3.48
489.0,11.4,3.67
490.0,11.72,2.4
491.0,11.72,1.87
492.0,11.67,2.06
493.0,11.4,3.67
494.0,11.43,3.77
495.0,11.72,2.31
496.0,11.72,2.2600000000000002
497.0,11.43,3.58
498.0,11.4,3.8200000000000003
499.0,11.72,1.77
500.0,11.6,2.5
501.0,11.4,3.67
502.0,11.62,2.21
503.0,11.43,3.62
504.0,11.4,3.23
505.0,11.5,2.94
506.0,11.57,2.7
507.0,11.62,2.65
508.0,11.5,3.3800000000000003
509.0,11.69,1.77
510.0,11.65,3.77
511.0,11.52,1.09
512.0,11.69,2.21
513.0,11.52,4.06
514.0,11.52,3.0900000000000003
515.0,11.55,2.75
516.0,11.62,2.84
517.0,11.45,3.8200000000000003
518.0,11.4,4.55
519.0,11.57,3.67
520.0,11.47,3.5300000000000002
521.0,11.38,4.45
522.0,11.57,3.43
523.0,11.57,3.48
524.0,11.4,4.41
525.0,11.4,4.45
526.0,11.69,2.79
527.0,11.65,2.89
528.0,11.69,2.7
529.0,11.43,4.06
530.0,11.5,3.5300000000000002
531.0,11.47,3.72
532.0,11.47,4.11
533.0,11.4,4.6
534.0,11.55,3.67
535.0,11.43,3.87
536.0,11.52,3.77
537.0,11.52,3.87
538.0,11.52,3.77
539.0,11.43,4.6
540.0,11.43,4.06
541.0,11.38,4.06
542.0,11.6,2.65
543.0,11.67,2.65
544.0,11.52,3.48
545.0,11.47,3.58
546.0,11.4,4.11
547.0,11.69,2.45
548.0,11.67,2.45
549.0,11.65,2.6
550.0,11.4,4.26
551.0,11.45,4.16
552.0,11.55,3.14
553.0,11.43,3.8200000000000003
554.0,11.67,2.55
555.0,11.55,3.14
556.0,11.43,3.62
557.0,11.69,2.4
558.0,11.43,3.92
559.0,11.72,2.6
560.0,11.67,2.6
561.0,11.47,4.06
562.0,11.69,2.6
563.0,11.67,2.99
564.0,11.4,4.16
565.0,11.52,3.5300000000000002
566.0,11.45,3.72
