Waktu (detik),Tegangan (V),Arus (A)
550.0,12.08,3.65
551.0,12.09,3.5500000000000003
552.0,12.1,3.5
553.0,12.1,3.47
554.0,12.12,3.3400000000000003
555.0,12.12,3.33
556.0,12.1,3.45
557.0,12.1,3.49
558.0,12.1,3.5
559.0,12.09,3.49
560.0,12.08,3.5500000000000003
561.0,12.08,3.54
562.0,12.08,3.58
563.0,12.08,3.58
564.0,12.07,3.69
565.0,12.08,3.6100000000000003
566.0,12.08,3.6300000000000003
567.0,12.09,3.6100000000000003
568.0,12.09,3.6
569.0,12.1,3.5
570.0,12.11,3.41
571.0,12.1,3.5700000000000003
572.0,12.09,3.6300000000000003
573.0,12.09,3.62
574.0,12.09,3.56
575.0,12.09,3.52
576.0,12.1,3.41
577.0,12.1,3.41
578.0,12.11,3.39
579.0,12.11,3.39
580.0,12.11,3.3800000000000003
581.0,12.11,3.3800000000000003
582.0,12.1,3.4
583.0,12.1,3.3800000000000003
584.0,12.1,3.45
585.0,12.08,3.5900000000000003
586.0,12.09,3.58
587.0,12.07,3.73
588.0,12.08,3.66
589.0,12.07,3.75
590.0,12.07,3.7800000000000002
591.0,12.09,3.64
592.0,12.08,3.6300000000000003
593.0,12.08,3.71
594.0,12.07,3.73
595.0,12.07,3.74
596.0,12.07,3.74
597.0,12.08,3.5900000000000003
598.0,12.08,3.65
599.0,12.08,3.66
600.0,12.08,3.67
601.0,12.06,3.77
602.0,12.07,3.72
603.0,12.06,3.79
604.0,12.06,3.75
605.0,12.07,3.7
606.0,12.05,3.8200000000000003
607.0,12.05,3.8600000000000003
608.0,12.06,3.81
609.0,12.07,3.73
610.0,12.06,3.8600000000000003
611.0,12.06,3.8800000000000003
612.0,12.07,3.81
613.0,12.06,3.8200000000000003
614.0,12.08,3.75
615.0,12.09,3.64
616.0,12.11,3.5
617.0,12.09,3.6300000000000003
618.0,12.08,3.73
619.0,12.07,3.7800000000000002
620.0,12.08,3.73
621.0,12.08,3.66
622.0,12.08,3.73
623.0,12.09,3.66
624.0,12.08,3.75
625.0,12.07,3.85
626.0,12.05,4.01
627.0,12.06,3.8400000000000003
628.0,12.08,3.68
629.0,12.07,3.73
630.0,12.07,3.79
631.0,12.07,3.73
632.0,12.07,3.79
633.0,12.05,3.8600000000000003
634.0,12.06,3.7600000000000002
635.0,12.07,3.73
636.0,12.09,3.56
637.0,12.09,3.6100000000000003
638.0,12.07,3.77
639.0,12.06,3.77
640.0,12.08,3.62
641.0,12.08,3.6300000000000003
642.0,12.09,3.5100000000000002
643.0,12.1,3.39
644.0,12.11,3.35
645.0,12.11,3.3400000000000003
646.0,12.09,3.44
647.0,12.09,3.44
648.0,12.1,3.4
649.0,12.1,3.4
650.0,12.09,3.47
651.0,12.08,3.6100000000000003
652.0,12.08,3.58
653.0,12.08,3.5900000000000003
654.0,12.07,3.64
655.0,12.08,3.5900000000000003
656.0,12.07,3.64
657.0,12.08,3.5900000000000003
658.0,12.08,3.6100000000000003
659.0,12.08,3.6300000000000003
660.0,12.08,3.62
661.0,12.09,3.5700000000000003
662.0,12.08,3.69
663.0,12.07,3.81
664.0,12.06,3.8400000000000003
665.0,12.05,3.94
666.0,12.06,3.81
667.0,12.04,3.95
668.0,12.06,3.81
669.0,12.07,3.66
670.0,12.07,3.71
671.0,12.06,3.73
672.0,12.08,3.5900000000000003
673.0,12.08,3.5700000000000003
674.0,12.07,3.62
675.0,12.07,3.64
676.0,12.06,3.79
677.0,12.07,3.68
678.0,12.07,3.68
679.0,12.07,3.68
680.0,12.08,3.6300000000000003
681.0,12.1,3.5100000000000002
682.0,12.09,3.5500000000000003
683.0,12.1,3.43
684.0,12.11,3.42
685.0,12.11,3.43
686.0,12.12,3.3000000000000003
687.0,12.12,3.3200000000000003
688.0,12.11,3.37
689.0,12.11,3.41
690.0,12.09,3.49
691.0,12.08,3.58
692.0,12.07,3.68
693.0,12.06,3.77
694.0,12.06,3.7
695.0,12.06,3.66
696.0,12.06,3.68
697.0,12.05,3.7800000000000002
698.0,12.05,3.79
699.0,12.04,3.87
700.0,12.04,3.7800000000000002
701.0,12.04,3.8600000000000003
702.0,12.03,3.87
703.0,12.03,3.8800000000000003
704.0,12.04,3.8200000000000003
705.0,12.05,3.79
706.0,12.06,3.79
707.0,12.07,3.73
708.0,12.07,3.72
709.0,12.07,3.66
710.0,12.07,3.71
711.0,12.08,3.65
712.0,12.09,3.5700000000000003
713.0,12.09,3.5500000000000003
714.0,12.08,3.68
715.0,12.08,3.69
716.0,12.07,3.74
717.0,12.08,3.65
718.0,12.08,3.6100000000000003
719.0,12.09,3.54
720.0,12.09,3.5300000000000002
721.0,12.09,3.49
722.0,12.08,3.58
723.0,12.08,3.54
724.0,12.09,3.44
725.0,12.1,3.41
726.0,12.11,3.3600000000000003
727.0,12.09,3.5100000000000002
728.0,12.09,3.5100000000000002
729.0,12.08,3.5500000000000003
730.0,12.09,3.49
731.0,12.08,3.54
732.0,12.09,3.47
733.0,12.08,3.56
734.0,12.07,3.66
735.0,12.07,3.66
736.0,12.07,3.6300000000000003
737.0,12.08,3.6100000000000003
738.0,12.07,3.7
739.0,12.07,3.72
740.0,12.07,3.72
741.0,12.08,3.6300000000000003
742.0,12.08,3.62
743.0,12.08,3.6300000000000003
744.0,12.1,3.52
745.0,12.1,3.46
746.0,12.09,3.5500000000000003
747.0,12.1,3.52
748.0,12.11,3.48
749.0,12.1,3.46
750.0,12.1,3.52
751.0,12.09,3.58
752.0,12.08,3.6
753.0,12.1,3.47
754.0,12.09,3.5500000000000003
755.0,12.08,3.6100000000000003
756.0,12.08,3.54
757.0,12.08,3.58
758.0,12.07,3.69
759.0,12.06,3.79
760.0,12.05,3.8400000000000003
761.0,12.06,3.79
762.0,12.07,3.69
763.0,12.05,3.8200000000000003
764.0,12.07,3.74
765.0,12.06,3.8000000000000003
766.0,12.07,3.79
767.0,12.06,3.8000000000000003
768.0,12.06,3.77
769.0,12.08,3.65
770.0,12.08,3.66
771.0,12.06,3.8000000000000003
772.0,12.06,3.8400000000000003
773.0,12.07,3.81
774.0,12.06,3.8000000000000003
775.0,12.08,3.65
776.0,12.08,3.64
777.0,12.08,3.6300000000000003
778.0,12.08,3.64
779.0,12.07,3.7
780.0,12.08,3.6300000000000003
781.0,12.08,3.6100000000000003
782.0,12.07,3.68
783.0,12.06,3.74
784.0,12.06,3.8000000000000003
785.0,12.05,3.81
786.0,12.04,3.8600000000000003
787.0,12.06,3.73
788.0,12.07,3.6100000000000003
789.0,12.09,3.52
790.0,12.09,3.5
791.0,12.1,3.48
792.0,12.09,3.5
793.0,12.09,3.5100000000000002
794.0,12.09,3.5300000000000002
795.0,12.08,3.67
796.0,12.08,3.62
797.0,12.08,3.64
798.0,12.06,3.7800000000000002
799.0,12.04,3.93
800.0,12.05,3.8600000000000003
801.0,12.05,3.8400000000000003
802.0,12.07,3.67
803.0,12.08,3.6
804.0,12.09,3.5
805.0,12.11,3.39
806.0,12.1,3.43
807.0,12.1,3.39
808.0,12.11,3.35
809.0,12.12,3.3000000000000003
810.0,12.11,3.41
811.0,12.1,3.46
812.0,12.1,3.48
813.0,12.11,3.3800000000000003
814.0,12.09,3.54
815.0,12.08,3.6100000000000003
816.0,12.07,3.66
817.0,12.08,3.6300000000000003
818.0,12.08,3.6100000000000003
819.0,12.08,3.5300000000000002
820.0,12.1,3.44
821.0,12.11,3.3600000000000003
822.0,12.1,3.37
823.0,12.09,3.5
824.0,12.1,3.3400000000000003
825.0,12.12,3.23
826.0,12.11,3.25
827.0,12.1,3.37
828.0,12.1,3.37
829.0,12.08,3.45
830.0,12.07,3.5500000000000003
831.0,12.06,3.6
832.0,12.05,3.7
833.0,12.05,3.71
834.0,12.05,3.74
835.0,12.03,3.8600000000000003
836.0,12.04,3.83
837.0,12.04,3.75
838.0,12.06,3.65
839.0,12.06,3.71
840.0,12.07,3.5900000000000003
841.0,12.09,3.5100000000000002
842.0,12.08,3.54
843.0,12.09,3.45
844.0,12.08,3.58
845.0,12.08,3.5300000000000002
846.0,12.08,3.56
847.0,12.07,3.7
848.0,12.06,3.79
849.0,12.05,3.8000000000000003
850.0,12.03,3.96
851.0,12.03,3.98
852.0,12.06,3.8400000000000003
853.0,12.05,3.9
854.0,12.07,3.74
855.0,12.06,3.83
856.0,12.07,3.7600000000000002
857.0,12.07,3.7600000000000002
858.0,12.07,3.7600000000000002
859.0,12.07,3.75
860.0,12.07,3.75
861.0,12.05,3.87
862.0,12.03,3.97
863.0,12.03,4.0
864.0,12.02,4.08
865.0,12.03,3.97
866.0,12.02,3.99
867.0,12.04,3.81
868.0,12.06,3.73
869.0,12.07,3.6100000000000003
870.0,12.09,3.45
871.0,12.09,3.4
872.0,12.1,3.3400000000000003
873.0,12.1,3.3600000000000003
874.0,12.11,3.27
875.0,12.1,3.4
876.0,12.09,3.45
877.0,12.08,3.56
878.0,12.08,3.65
879.0,12.08,3.64
880.0,12.06,3.79
881.0,12.07,3.7
882.0,12.08,3.68
883.0,12.09,3.5700000000000003
884.0,12.08,3.56
885.0,12.09,3.49
886.0,12.11,3.39
887.0,12.1,3.43
888.0,12.09,3.49
889.0,12.08,3.6
890.0,12.09,3.48
891.0,12.09,3.45
892.0,12.09,3.48
893.0,12.09,3.54
894.0,12.07,3.7
895.0,12.06,3.75
896.0,12.05,3.81
897.0,12.06,3.67
898.0,12.06,3.65
899.0,12.08,3.5
900.0,12.08,3.47
901.0,12.07,3.6100000000000003
902.0,12.06,3.65
903.0,12.06,3.6300000000000003
904.0,12.08,3.5300000000000002
905.0,12.09,3.4
906.0,12.09,3.45
907.0,12.08,3.54
908.0,12.08,3.5100000000000002
909.0,12.07,3.6300000000000003
910.0,12.06,3.75
911.0,12.06,3.75
912.0,12.05,3.79
913.0,12.06,3.75
914.0,12.06,3.73
915.0,12.05,3.7800000000000002
916.0,12.07,3.66
917.0,12.07,3.7
918.0,12.08,3.62
919.0,12.08,3.6100000000000003
920.0,12.08,3.5500000000000003
921.0,12.08,3.5100000000000002
922.0,12.1,3.35
923.0,12.1,3.43
924.0,12.1,3.41
925.0,12.1,3.37
926.0,12.1,3.43
927.0,12.11,3.31
928.0,12.1,3.3600000000000003
929.0,12.11,3.2800000000000002
930.0,12.11,3.27
931.0,12.11,3.25
932.0,12.1,3.39
933.0,12.1,3.3600000000000003
934.0,12.09,3.42
935.0,12.08,3.5
936.0,12.09,3.4
937.0,12.08,3.46
938.0,12.09,3.44
939.0,12.09,3.46
940.0,12.09,3.43
941.0,12.09,3.43
942.0,12.1,3.3000000000000003
943.0,12.1,3.3600000000000003
944.0,12.1,3.39
945.0,12.11,3.33
946.0,12.09,3.48
947.0,12.08,3.5300000000000002
948.0,12.08,3.62
949.0,12.09,3.6
950.0,12.08,3.75
951.0,12.08,3.72
952.0,12.06,3.89
953.0,12.07,3.87
954.0,12.08,3.77
955.0,12.06,3.87
956.0,12.07,3.8200000000000003
957.0,12.07,3.79
958.0,12.08,3.72
959.0,12.06,3.8200000000000003
960.0,12.06,3.8200000000000003
961.0,12.05,3.89
962.0,12.07,3.73
963.0,12.07,3.73
964.0,12.05,3.89
965.0,12.06,3.8200000000000003
966.0,12.06,3.85
967.0,12.06,3.8200000000000003
968.0,12.05,3.85
969.0,12.06,3.77
970.0,12.07,3.71
971.0,12.08,3.68
972.0,12.05,3.85
973.0,12.05,3.8600000000000003
974.0,12.06,3.79
975.0,12.07,3.74
976.0,12.07,3.71
977.0,12.06,3.73
978.0,12.07,3.67
979.0,12.07,3.73
980.0,12.07,3.68
981.0,12.07,3.64
982.0,12.09,3.5100000000000002
983.0,12.09,3.43
984.0,12.1,3.4
985.0,12.09,3.41
986.0,12.11,3.2800000000000002
987.0,12.1,3.37
988.0,12.1,3.39
989.0,12.09,3.39
990.0,12.08,3.52
991.0,12.08,3.5
992.0,12.08,3.46
993.0,12.09,3.45
994.0,12.09,3.46
995.0,12.09,3.42
996.0,12.09,3.43
997.0,12.1,3.39
998.0,12.11,3.3200000000000003
999.0,12.11,3.3000000000000003
1000.0,12.12,3.27
1001.0,12.1,3.3200000000000003
1002.0,12.1,3.33
1003.0,12.11,3.31
1004.0,12.1,3.3800000000000003
1005.0,12.08,3.49
1006.0,12.08,3.5500000000000003
1007.0,12.08,3.5100000000000002
1008.0,12.07,3.66
1009.0,12.08,3.5900000000000003
1010.0,12.09,3.5500000000000003
1011.0,12.09,3.5100000000000002
1012.0,12.09,3.5100000000000002
1013.0,12.08,3.62
1014.0,12.08,3.6
1015.0,12.09,3.6100000000000003
1016.0,12.09,3.56
1017.0,12.09,3.5100000000000002
1018.0,12.11,3.37
1019.0,12.1,3.37
1020.0,12.11,3.2800000000000002
1021.0,12.1,3.3600000000000003
1022.0,12.11,3.33
1023.0,12.12,3.22
1024.0,12.11,3.27
1025.0,12.13,3.18
1026.0,12.11,3.3000000000000003
1027.0,12.11,3.33
1028.0,12.11,3.3600000000000003
1029.0,12.11,3.3800000000000003
1030.0,12.1,3.5100000000000002
1031.0,12.1,3.49
1032.0,12.09,3.54
1033.0,12.09,3.5100000000000002
1034.0,12.09,3.5100000000000002
1035.0,12.08,3.5900000000000003
1036.0,12.08,3.56
1037.0,12.07,3.68
1038.0,12.07,3.64
1039.0,12.07,3.66
1040.0,12.08,3.52
1041.0,12.09,3.42
1042.0,12.09,3.5100000000000002
1043.0,12.08,3.6
1044.0,12.08,3.6
