Waktu (detik),Tegangan (V),Arus (A)
387.0,12.5,4.75
388.0,12.77,3.5300000000000002
389.0,12.79,3.04
390.0,12.7,3.92
391.0,12.82,3.18
392.0,12.5,4.41
393.0,12.6,4.41
394.0,12.84,2.84
395.0,12.84,2.79
396.0,12.52,4.21
397.0,12.72,3.23
398.0,12.79,2.99
399.0,12.77,3.3800000000000003
400.0,12.87,2.79
401.0,12.5,4.55
402.0,12.67,3.62
403.0,12.72,3.33
404.0,12.89,2.99
405.0,12.79,3.43
406.0,12.79,2.89
407.0,12.89,2.84
408.0,12.55,4.11
409.0,12.84,2.79
410.0,12.5,4.55
411.0,12.62,4.26
412.0,12.82,2.84
413.0,12.82,2.89
414.0,12.72,3.3800000000000003
415.0,12.72,3.62
416.0,12.67,3.92
417.0,12.84,2.75
418.0,12.87,2.7
419.0,12.6,3.8200000000000003
420.0,12.5,4.6
421.0,12.5,4.41
422.0,12.7,3.92
423.0,12.57,4.41
424.0,12.74,3.58
425.0,12.6,4.31
426.0,12.67,3.97
427.0,12.5,4.6
428.0,12.74,3.58
429.0,12.57,4.45
430.0,12.48,4.6
431.0,12.57,4.36
432.0,12.5,4.6499999999999995
433.0,12.72,3.67
434.0,12.62,4.11
435.0,12.84,3.04
436.0,12.72,3.58
437.0,12.67,3.8200000000000003
438.0,12.82,2.89
439.0,12.87,2.79
440.0,12.84,2.75
441.0,12.74,3.5300000000000002
442.0,12.72,3.72
443.0,12.55,3.87
444.0,12.5,4.21
445.0,12.82,2.79
446.0,12.77,3.48
447.0,12.82,2.89
448.0,12.79,2.99
449.0,12.52,4.6
450.0,12.65,3.92
451.0,12.65,3.72
452.0,12.65,3.5300000000000002
453.0,12.48,4.6
454.0,12.79,2.99
455.0,12.57,4.21
456.0,12.5,4.6499999999999995
457.0,12.77,3.3800000000000003
458.0,12.5,4.36
459.0,12.6,4.11
460.0,12.82,3.0900000000000003
461.0,12.72,3.62
462.0,12.57,3.8200000000000003
463.0,12.62,3.58
464.0,12.5,4.6499999999999995
465.0,12.82,2.99
466.0,12.7,3.43
467.0,12.82,2.94
468.0,12.48,4.6
469.0,12.62,3.58
470.0,12.5,4.36
471.0,12.57,4.31
472.0,12.67,3.8200000000000003
473.0,12.72,3.14
474.0,12.77,3.43
475.0,12.72,3.58
476.0,12.82,3.0900000000000003
477.0,12.5,4.6499999999999995
478.0,12.67,3.48
479.0,12.5,4.6
480.0,12.65,3.48
481.0,12.5,4.41
482.0,12.57,3.72
483.0,12.55,4.45
484.0,12.6,4.11
485.0,12.65,3.97
486.0,12.77,3.04
487.0,12.48,4.7
488.0,12.79,2.99
489.0,12.67,3.33
490.0,12.7,3.72
491.0,12.7,3.58
492.0,12.87,2.75
493.0,12.77,3.33
494.0,12.77,3.3800000000000003
495.0,12.57,3.87
496.0,12.77,3.04
497.0,12.72,3.14
498.0,12.5,4.5
499.0,12.74,3.3800000000000003
500.0,12.82,3.04
501.0,12.82,2.89
502.0,12.62,4.06
503.0,12.5,4.5
504.0,12.77,3.2800000000000002
505.0,12.84,2.7
506.0,12.55,3.92
507.0,12.77,2.94
508.0,12.72,3.2800000000000002
509.0,12.84,3.04
510.0,12.55,4.45
511.0,12.48,4.6
512.0,12.84,2.65
513.0,12.62,3.48
514.0,12.65,3.62
515.0,12.48,4.11
516.0,12.79,2.75
517.0,12.7,3.43
518.0,12.74,3.04
519.0,12.79,2.89
520.0,12.74,3.3800000000000003
521.0,12.62,4.06
522.0,12.82,2.79
523.0,12.82,2.75
524.0,12.6,4.16
525.0,12.67,3.62
526.0,12.72,3.5300000000000002
527.0,12.77,2.84
528.0,12.82,2.7
529.0,12.72,3.04
530.0,12.7,3.58
531.0,12.7,3.5300000000000002
532.0,12.45,4.26
533.0,12.84,2.84
534.0,12.84,2.75
535.0,12.5,4.5
536.0,12.62,3.43
537.0,12.57,4.31
538.0,12.5,4.11
539.0,12.82,3.0900000000000003
540.0,12.72,3.43
541.0,12.5,4.41
542.0,12.77,2.94
543.0,12.7,3.14
544.0,12.77,3.33
545.0,12.72,3.43
546.0,12.65,3.43
547.0,12.79,2.84
548.0,12.62,3.8200000000000003
549.0,12.67,3.2800000000000002
550.0,12.67,3.18
551.0,12.67,3.3800000000000003
552.0,12.52,4.41
553.0,12.52,4.41
554.0,12.84,2.84
555.0,12.6,4.06
556.0,12.45,4.45
557.0,12.67,3.5300000000000002
558.0,12.74,3.43
559.0,12.55,3.5300000000000002
560.0,12.6,3.62
561.0,12.62,4.02
562.0,12.7,3.5300000000000002
563.0,12.67,2.99
564.0,12.62,3.48
565.0,12.43,4.55
566.0,12.72,2.99
567.0,12.48,4.11
568.0,12.79,3.0900000000000003
569.0,12.84,2.79
570.0,12.55,3.8200000000000003
571.0,12.77,2.79
572.0,12.45,4.7
573.0,12.45,4.16
574.0,12.48,4.16
575.0,12.57,3.97
576.0,12.62,3.92
577.0,12.82,2.65
578.0,12.77,2.79
579.0,12.55,4.16
580.0,12.5,4.11
581.0,12.65,3.33
582.0,12.6,4.02
583.0,12.62,3.8200000000000003
584.0,12.74,2.99
585.0,12.77,2.94
586.0,12.43,4.55
587.0,12.45,4.5
588.0,12.84,2.7
589.0,12.79,2.7
590.0,12.72,2.99
591.0,12.82,2.89
592.0,12.43,4.45
593.0,12.65,3.33
594.0,12.62,3.72
595.0,12.45,4.7
596.0,12.79,2.65
597.0,12.45,4.6
598.0,12.52,3.87
599.0,12.7,3.5300000000000002
600.0,12.65,3.62
601.0,12.67,2.99
602.0,12.82,2.65
603.0,12.48,3.97
604.0,12.7,3.14
605.0,12.57,4.16
606.0,12.79,3.04
607.0,12.72,3.3800000000000003
608.0,12.65,3.2800000000000002
609.0,12.77,2.75
610.0,12.57,4.02
611.0,12.52,4.36
612.0,12.82,2.6
613.0,12.45,4.45
614.0,12.79,2.75
615.0,12.52,4.21
616.0,12.77,2.75
617.0,12.5,4.41
618.0,12.48,4.5
619.0,12.67,3.5300000000000002
620.0,12.72,3.33
621.0,12.45,4.55
622.0,12.72,3.04
623.0,12.79,2.79
624.0,12.5,4.45
625.0,12.43,4.55
626.0,12.79,2.7
627.0,12.82,2.75
628.0,12.55,4.21
629.0,12.43,4.36
630.0,12.45,4.55
631.0,12.79,2.84
632.0,12.79,2.65
633.0,12.57,3.92
634.0,12.67,3.62
635.0,12.5,4.41
636.0,12.62,3.77
637.0,12.52,4.31
638.0,12.57,3.72
639.0,12.5,4.36
640.0,12.45,3.92
641.0,12.52,4.21
642.0,12.48,4.06
643.0,12.55,4.21
644.0,12.43,4.36
645.0,12.7,3.0900000000000003
646.0,12.5,3.8200000000000003
647.0,12.82,2.7
648.0,12.77,2.79
649.0,12.74,3.14
650.0,12.74,2.79
651.0,12.74,3.23
652.0,12.7,3.04
653.0,12.82,2.84
654.0,12.67,3.3800000000000003
655.0,12.79,2.7
656.0,12.72,3.43
657.0,12.65,3.2800000000000002
658.0,12.72,3.04
659.0,12.45,4.45
660.0,12.55,3.48
661.0,12.72,2.84
662.0,12.45,4.11
663.0,12.45,4.5
664.0,12.74,3.18
665.0,12.79,2.7
666.0,12.43,4.45
667.0,12.48,4.6
668.0,12.74,3.14
669.0,12.82,2.75
670.0,12.79,2.7
671.0,12.45,4.06
672.0,12.5,3.92
673.0,12.55,4.11
674.0,12.43,4.21
675.0,12.4,4.6
676.0,12.72,2.94
677.0,12.77,3.04
678.0,12.45,3.72
679.0,12.43,4.5
680.0,12.79,2.84
681.0,12.74,3.14
682.0,12.67,3.14
683.0,12.67,3.14
684.0,12.55,4.21
685.0,12.45,4.55
686.0,12.6,3.8200000000000003
687.0,12.77,2.65
688.0,12.79,2.7
689.0,12.4,4.36
690.0,12.43,4.26
691.0,12.77,3.04
692.0,12.77,2.7
693.0,12.77,2.79
694.0,12.43,4.26
695.0,12.5,4.06
696.0,12.67,3.33
697.0,12.79,2.99
698.0,12.52,4.16
699.0,12.72,3.2800000000000002
700.0,12.74,3.23
701.0,12.45,4.11
702.0,12.65,3.5300000000000002
703.0,12.43,4.41
704.0,12.57,3.62
705.0,12.43,4.5
706.0,12.4,4.45
707.0,12.72,2.79
708.0,12.77,2.6
709.0,12.72,2.89
710.0,12.52,4.11
711.0,12.45,4.6
712.0,12.6,3.72
713.0,12.57,3.5300000000000002
714.0,12.52,4.26
715.0,12.5,4.31
716.0,12.77,3.14
717.0,12.65,3.48
718.0,12.6,3.72
719.0,12.74,2.89
720.0,12.55,3.48
721.0,12.62,3.72
722.0,12.65,3.3800000000000003
723.0,12.7,2.94
724.0,12.65,3.14
725.0,12.5,3.67
726.0,12.77,2.65
727.0,12.62,3.18
728.0,12.65,3.3800000000000003
729.0,12.72,3.18
730.0,12.65,3.14
731.0,12.7,2.99
732.0,12.43,4.45
733.0,12.43,4.55
734.0,12.52,4.16
735.0,12.79,2.65
736.0,12.79,2.84
737.0,12.74,2.75
738.0,12.55,4.06
739.0,12.5,4.21
740.0,12.72,2.99
741.0,12.43,4.55
742.0,12.67,3.18
743.0,12.62,3.18
744.0,12.57,3.33
745.0,12.77,2.75
746.0,12.7,3.0900000000000003
747.0,12.62,3.67
748.0,12.57,3.77
749.0,12.57,3.87
750.0,12.57,3.87
751.0,12.74,2.84
752.0,12.62,3.14
753.0,12.55,4.06
754.0,12.72,3.0900000000000003
755.0,12.45,4.45
756.0,12.62,3.62
757.0,12.72,3.0900000000000003
758.0,12.43,4.55
759.0,12.79,2.75
760.0,12.57,3.87
761.0,12.7,2.84
762.0,12.74,2.75
763.0,12.45,3.92
764.0,12.79,2.84
765.0,12.65,3.14
766.0,12.4,4.6499999999999995
767.0,12.62,3.14
768.0,12.4,4.5
769.0,12.79,2.84
770.0,12.57,3.33
771.0,12.62,3.62
772.0,12.4,4.6
773.0,12.6,3.67
774.0,12.43,3.87
775.0,12.43,4.45
776.0,12.74,2.79
777.0,12.43,4.31
778.0,12.74,2.89
779.0,12.48,4.21
780.0,12.62,3.14
781.0,12.45,4.45
782.0,12.62,3.48
783.0,12.65,3.33
784.0,12.77,2.6
785.0,12.67,3.23
786.0,12.5,3.67
787.0,12.57,3.43
788.0,12.62,3.3800000000000003
789.0,12.57,3.43
790.0,12.79,2.6
791.0,12.52,3.62
792.0,12.77,2.89
793.0,12.7,2.89
794.0,12.52,3.97
795.0,12.62,3.48
796.0,12.57,3.5300000000000002
797.0,12.4,4.36
798.0,12.43,4.45
799.0,12.77,2.65
800.0,12.67,3.04
801.0,12.6,3.62
802.0,12.74,2.5
803.0,12.55,3.8200000000000003
804.0,12.65,3.2800000000000002
805.0,12.74,3.18
806.0,12.48,3.87
807.0,12.65,3.18
808.0,12.4,4.36
809.0,12.5,3.72
810.0,12.57,3.72
811.0,12.6,3.58
812.0,12.6,3.18
813.0,12.38,4.7
814.0,12.38,4.36
815.0,12.62,3.43
816.0,12.67,3.23
817.0,12.57,3.23
818.0,12.65,3.14
819.0,12.77,2.65
820.0,12.4,4.45
821.0,12.72,2.7
822.0,12.7,3.23
823.0,12.5,3.58
824.0,12.38,4.26
825.0,12.77,2.55
826.0,12.77,2.6
827.0,12.52,4.06
828.0,12.5,4.26
829.0,12.74,2.7
830.0,12.52,3.97
831.0,12.52,4.06
832.0,12.7,2.84
833.0,12.72,2.99
834.0,12.65,2.94
835.0,12.62,3.58
836.0,12.77,2.65
837.0,12.52,3.5300000000000002
838.0,12.72,2.84
839.0,12.52,4.11
840.0,12.43,4.36
841.0,12.62,3.43
842.0,12.45,4.36
843.0,12.7,3.33
844.0,12.5,4.26
845.0,12.74,2.99
